Date,3month,bond,ftse100,ftse250,nikkei,russell,sp400,sp500
2015-03-18,2.5e-05,0.005702,0.015737,0.009349,0.00553,0.007978,0.010678,0.012158
2015-03-19,2.5e-05,-0.000718,0.002462,0.004285,-0.003475,0.002172,-0.002888,-0.004873
2015-03-20,8e-06,0.00295,0.008647,0.005704,0.004295,0.009172,0.011338,0.009013
2015-03-21,1.7e-05,0.000317,0.000722,0.000259,0.003308,-0.000434,-0.000539,-0.000583
2015-03-22,1.7e-05,0.00032,0.00072,0.000258,0.003298,-0.000442,-0.000533,-0.000579
2015-03-23,2.5e-05,0.000317,0.000721,0.000259,0.003286,-0.000435,-0.00054,-0.000584
2015-03-24,1.7e-05,0.002487,-0.002558,0.001596,-0.002071,-0.000988,-0.004125,-0.006139
2015-03-25,3.3e-05,-0.00236,-0.004088,-0.004376,0.001661,-0.023436,-0.016691,-0.014559
2015-03-26,2.5e-05,-0.005564,-0.013689,-0.013812,-0.013931,-0.001507,-0.002279,-0.002377
2015-03-27,3.3e-05,0.004375,-0.005845,-0.005673,-0.009526,0.006834,0.004461,0.002369
2015-03-28,3.3e-05,-0.000256,0.00177,0.000883,0.002174,0.004676,0.004693,0.004081
2015-03-29,3.3e-05,-0.000253,0.001768,0.000883,0.002169,0.004646,0.004665,0.004059
2015-03-30,3.3e-05,-0.000257,0.001763,0.000881,0.002164,0.004633,0.00465,0.004047
2015-03-31,2.5e-05,0.001763,-0.017181,-0.006826,-0.01053,-0.003999,-0.003733,-0.008796
2015-04-01,2.5e-05,0.004039,0.005389,0.001917,-0.008963,-0.000846,-0.003451,-0.003965
2015-04-02,1.7e-05,-0.001884,0.003524,0.008492,0.014602,0.003156,0.003404,0.00353
2015-04-03,1.7e-05,-1.1e-05,0.003755,0.0,0.006332,0.000972,0.002074,0.001655
2015-04-04,1.7e-05,-1.1e-05,0.003741,0.0,-0.000636,0.000971,0.002069,0.001647
2015-04-05,2.5e-05,-8e-06,0.003727,0.0,-0.000636,0.00097,0.002072,0.001649
2015-04-06,2.5e-05,-1.1e-05,0.003713,0.0,-0.000637,0.000969,0.002061,0.001642
2015-04-07,1.7e-05,0.002027,0.003699,0.01463,0.012504,-0.005696,-0.00779,-0.002062
2015-04-08,2.5e-05,0.000882,-0.003505,0.002282,0.0076,0.00746,0.004375,0.002683
2015-04-09,2.5e-05,-0.003877,0.011243,0.008773,0.007474,-0.002851,-8.5e-05,0.004457
2015-04-10,1.7e-05,0.000587,0.010605,0.009007,-0.001509,0.004495,0.002482,0.005203
2015-04-11,1.7e-05,0.000406,-0.001199,-0.000844,-3.6e-05,0.000213,-0.001101,-0.001527
2015-04-12,2.5e-05,0.000402,-0.0012,-0.000845,-3.7e-05,0.000221,-0.001102,-0.001529
2015-04-13,2.5e-05,0.000406,-0.001202,-0.000846,-3.6e-05,0.000213,-0.001103,-0.001532
2015-04-14,1.7e-05,0.002096,0.001557,0.001625,0.000162,-0.00019,0.000765,0.00163
