Date,NIKKEI225
1951-10-06,160.91
1951-10-07,159.09
1951-10-08,157.27
1951-10-09,157.23
1951-10-10,159.89
1951-10-11,159.23
1951-10-12,159.25
1951-10-13,159.82
1951-10-14,160.39000000000001
1951-10-15,160.96
1951-10-16,161.04
1951-10-17,162.9
1951-10-18,162.13
1951-10-19,164.25
1951-10-20,164.73666666666668
1951-10-21,165.22333333333333
1951-10-22,165.71
1951-10-23,164.87
1951-10-24,165.45
1951-10-25,168.63
1951-10-26,168.87
1951-10-27,167.79
1951-10-28,166.71
1951-10-29,165.63
1951-10-30,164.8
1951-10-31,165.09
1951-11-01,165.17
1951-11-02,163.07
1951-11-03,162.06666666666666
1951-11-04,161.06333333333333
1951-11-05,160.06
1951-11-06,159.68
1951-11-07,159.67
1951-11-08,159.19
1951-11-09,161.47
1951-11-10,161.72333333333333
1951-11-11,161.97666666666666
1951-11-12,162.23
1951-11-13,162.92
1951-11-14,162.79
1951-11-15,162.08
1951-11-16,162.37
1951-11-17,162.12666666666667
1951-11-18,161.88333333333333
1951-11-19,161.64
1951-11-20,159.45
1951-11-21,157.26
1951-11-22,155.69
1951-11-23,155.165
1951-11-24,154.64
1951-11-25,154.115
1951-11-26,153.59
1951-11-27,156.04
1951-11-28,155.48
1951-11-29,156.35
1951-11-30,157.35
1951-12-01,158.21
1951-12-02,159.07
1951-12-03,159.93
1951-12-04,159.29
1951-12-05,159.45
1951-12-06,159.38
1951-12-07,160.07
1951-12-08,160.37
1951-12-09,160.67
1951-12-10,160.97
1951-12-11,159.59
1951-12-12,158.82
1951-12-13,158.86
1951-12-14,158.85
1951-12-15,158.70666666666665
1951-12-16,158.56333333333333
1951-12-17,158.42
1951-12-18,157.06
1951-12-19,157.56
1951-12-20,158.8
1951-12-21,160.03
1951-12-22,160.20333333333335
1951-12-23,160.37666666666667
1951-12-24,160.55
1951-12-25,161.18
1951-12-26,162.31
1951-12-27,163.98
1951-12-28,166.06
1951-12-29,166.30857142857144
1951-12-30,166.55714285714285
1951-12-31,166.8057142857143
1952-01-01,167.05428571428573
1952-01-02,167.30285714285716
1952-01-03,167.55142857142857
1952-01-04,167.8
1952-01-05,168.08
1952-01-06,168.35999999999999
1952-01-07,168.64
1952-01-08,168.7
1952-01-09,170.73
1952-01-10,173.67
1952-01-11,174.85
1952-01-12,175.69
1952-01-13,176.53
1952-01-14,177.37
1952-01-15,178.38
1952-01-16,179.39
1952-01-17,180.45
1952-01-18,177.19
1952-01-19,178.44666666666666
1952-01-20,179.70333333333335
1952-01-21,180.96
1952-01-22,180.22
1952-01-23,183.16
1952-01-24,183.01
1952-01-25,184.27
1952-01-26,185.74
1952-01-27,187.21
1952-01-28,188.68
1952-01-29,186.36
1952-01-30,187.45
1952-01-31,188.96
1952-02-01,190.77
1952-02-02,191.08
1952-02-03,191.39
1952-02-04,191.7
1952-02-05,189.87
1952-02-06,190.64
1952-02-07,193.29
1952-02-08,192.2
1952-02-09,191.37
1952-02-10,190.54
1952-02-11,189.71
1952-02-12,189.93
1952-02-13,191.83
1952-02-14,190.73
1952-02-15,187.81
1952-02-16,187.77333333333334
1952-02-17,187.73666666666665
1952-02-18,187.7
1952-02-19,189.04
1952-02-20,190.06
1952-02-21,189.23
1952-02-22,185.8
1952-02-23,185.42666666666668
1952-02-24,185.05333333333334
1952-02-25,184.68
1952-02-26,183.9
1952-02-27,180.77
1952-02-28,180.3
1952-02-29,181.4
1952-03-01,182.34333333333333
1952-03-02,183.28666666666666
1952-03-03,184.23
1952-03-04,185.38
1952-03-05,184.27
1952-03-06,185.81
1952-03-07,187.23
1952-03-08,187.48
1952-03-09,187.73
1952-03-10,187.98
1952-03-11,188.5
1952-03-12,188.26
1952-03-13,186.52
1952-03-14,186.02
1952-03-15,185.74
1952-03-16,185.46
1952-03-17,185.18
1952-03-18,183.25
1952-03-19,180.65
1952-03-20,182.1
1952-03-21,181.7
1952-03-22,181.3
1952-03-23,180.9
1952-03-24,180.5
1952-03-25,179.92
1952-03-26,179.91
1952-03-27,181.48
1952-03-28,176.23
1952-03-29,175.98999999999998
1952-03-30,175.75
1952-03-31,175.51
1952-04-01,175.99
1952-04-02,177.36
1952-04-03,179.41
1952-04-04,181.51
1952-04-05,181.76666666666665
1952-04-06,182.02333333333334
1952-04-07,182.28
1952-04-08,182.8
1952-04-09,184.59
1952-04-10,184.81
1952-04-11,185.12
1952-04-12,185.39333333333335
1952-04-13,185.66666666666666
1952-04-14,185.94
1952-04-15,188.5
1952-04-16,192.91
1952-04-17,195.05
1952-04-18,197.88
1952-04-19,198.47333333333333
1952-04-20,199.06666666666666
1952-04-21,199.66
1952-04-22,200.26
1952-04-23,201.09
1952-04-24,203.05
1952-04-25,206.2
1952-04-26,204.98
1952-04-27,203.76
1952-04-28,202.54
1952-04-29,202.63
1952-04-30,202.72
1952-05-01,204.41
1952-05-02,207.86
1952-05-03,207.89000000000001
1952-05-04,207.92000000000002
1952-05-05,207.95
1952-05-06,207.98
1952-05-07,209.11
1952-05-08,207.74
1952-05-09,208.53
1952-05-10,208.39666666666668
1952-05-11,208.26333333333332
1952-05-12,208.13
1952-05-13,206.72
1952-05-14,207.56
1952-05-15,207.29
1952-05-16,206.56
1952-05-17,205.99
1952-05-18,205.42
1952-05-19,204.85
1952-05-20,205.99
1952-05-21,209.3
1952-05-22,210.6
1952-05-23,213.11
1952-05-24,213.7266666666667
1952-05-25,214.34333333333333
1952-05-26,214.96
1952-05-27,216.58
1952-05-28,220.77
1952-05-29,222.75
1952-05-30,222.54
1952-05-31,224.49666666666667
1952-06-01,226.45333333333332
1952-06-02,228.41
1952-06-03,225.98
1952-06-04,224.0
1952-06-05,227.01
1952-06-06,225.1
1952-06-07,226.31
1952-06-08,227.51999999999998
1952-06-09,228.73
1952-06-10,232.88
1952-06-11,233.0
1952-06-12,239.08
1952-06-13,238.2
1952-06-14,239.12
1952-06-15,240.04
1952-06-16,240.96
1952-06-17,238.92
1952-06-18,234.57
1952-06-19,239.07
1952-06-20,240.22
1952-06-21,238.25666666666666
1952-06-22,236.29333333333335
1952-06-23,234.33
1952-06-24,237.12
1952-06-25,238.37
1952-06-26,241.1
1952-06-27,242.58
1952-06-28,243.77
1952-06-29,244.96
1952-06-30,246.15
1952-07-01,249.86
1952-07-02,251.3
1952-07-03,254.7
1952-07-04,255.17
1952-07-05,256.6433333333333
1952-07-06,258.1166666666667
1952-07-07,259.59
1952-07-08,259.45
1952-07-09,262.56
1952-07-10,262.71
1952-07-11,263.04
1952-07-12,260.9066666666667
1952-07-13,258.7733333333333
1952-07-14,256.64
1952-07-15,257.57
1952-07-16,257.62
1952-07-17,248.48
1952-07-18,238.8
1952-07-19,241.80333333333334
1952-07-20,244.80666666666667
1952-07-21,247.81
1952-07-22,245.61
1952-07-23,246.43
1952-07-24,245.37
1952-07-25,246.65
1952-07-26,246.74
1952-07-27,246.82999999999998
1952-07-28,246.92
1952-07-29,249.25
1952-07-30,250.24
1952-07-31,253.21
1952-08-01,253.74
1952-08-02,254.82000000000002
